nm;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
373;1,13373;1,15326;1,17218;1,18042;1,21704;1,2854;1,3092;1,37421;1,4502;1,49414;1,84204;1,95923;2,09686;2,2525;2,28973;2,2934;0,0350952;2,22198;0,0878906
374;1,12732;1,11603;1,13281;1,13831;1,1792;1,23779;1,25061;1,26923;1,40228;1,44318;1,7868;1,92505;2,04254;2,19849;2,19971;2,19421;0,0338745;2,15668;0,0857544
375;1,05499;1,08765;1,07849;1,10901;1,13251;1,1673;1,21552;1,25793;1,32996;1,38763;1,72302;1,8869;1,98944;2,12585;2,13196;2,17468;0,0341797;2,09747;0,088501
376;1,02997;1,04156;1,04248;1,07788;1,08093;1,13403;1,18927;1,21613;1,28418;1,35895;1,71295;1,84723;1,94977;2,03705;2,09534;2,12952;0,032959;2,07947;0,0802612
377;0,999146;1,02142;1,01257;1,02356;1,06262;1,11603;1,16913;1,17004;1,26862;1,30249;1,65955;1,77795;1,89301;2,03217;2,03522;2,07245;0,0338745;2,00775;0,0863647
378;0,990601;0,996704;0,990906;1,00616;1,04401;1,06873;1,16028;1,13434;1,22772;1,2854;1,58997;1,76758;1,86218;1,99829;2,00073;2,04163;0,0326538;2,02576;0,0869751
379;0,945435;0,970154;0,965576;0,984192;1,02539;1,05591;1,11115;1,12366;1,21429;1,26221;1,58112;1,71417;1,82159;1,96503;1,98456;2,01385;0,03479;1,98273;0,0839233
380;0,951538;0,941162;0,950317;0,981445;0,991211;1,02509;1,0556;1,10718;1,19812;1,24329;1,57379;1,72668;1,85547;1,93024;1,94336;2,00439;0,038147;1,97021;0,0869751
381;0,915833;0,923157;0,921631;0,943298;0,93689;1,02814;1,05988;1,11084;1,14685;1,2146;1,52893;1,6806;1,80817;1,90613;1,9223;1,96564;0,0332642;1,94092;0,0872803
382;0,898438;0,904236;0,917664;0,930481;0,964355;1,00006;1,04309;1,05347;1,12244;1,2088;1,49658;1,65344;1,77551;1,90491;1,91437;1,94122;0,0369263;1,9162;0,0878906
383;0,871887;0,892639;0,892944;0,882263;0,925293;0,98114;0,995178;1,02631;1,10901;1,16455;1,47217;1,62811;1,73706;1,82953;1,88263;1,91467;0,0341797;1,8985;0,078125
384;0,863037;0,870361;0,870667;0,880432;0,905457;0,938721;0,957031;1,0199;1,11816;1,15784;1,4624;1,59454;1,73096;1,82617;1,82739;1,86371;0,0390625;1,87836;0,0933838
385;0,829468;0,864563;0,835571;0,83252;0,856934;0,901794;0,959778;0,981445;1,06934;1,11725;1,40442;1,57654;1,68365;1,80298;1,81458;1,83044;0,0335693;1,82312;0,0909424
386;0,806885;0,826721;0,827942;0,822754;0,873108;0,890503;0,947266;0,95459;1,02875;1,10809;1,37543;1,52802;1,62903;1,77002;1,79047;1,78986;0,0314331;1,77765;0,0869751
387;0,788574;0,778809;0,787659;0,802917;0,822754;0,888062;0,888977;0,939941;1,00159;1,05957;1,33759;1,50421;1,58997;1,68823;1,71265;1,7868;0,03479;1,71906;0,0872803
388;0,758972;0,762329;0,757446;0,779724;0,801086;0,820618;0,886841;0,90332;0,975952;1,05286;1,3089;1,47522;1,57288;1,63666;1,69067;1,69952;0,0314331;1,70319;0,0817871
389;0,731812;0,741577;0,722656;0,770264;0,760193;0,800476;0,859375;0,880737;0,933533;0,99762;1,28082;1,40747;1,51794;1,61865;1,62415;1,64673;0,0360107;1,67236;0,0991821
390;0,71106;0,717468;0,709534;0,717773;0,758057;0,803833;0,802917;0,857239;0,914307;0,983887;1,2384;1,37634;1,47156;1,55701;1,60797;1,62231;0,0320435;1,61713;0,0921631
391;0,683289;0,688477;0,69458;0,690613;0,722656;0,750122;0,799255;0,825806;0,877991;0,950623;1,18744;1,32965;1,42273;1,54022;1,57013;1,56525;0,0332642;1,5921;0,0878906
392;0,666504;0,643616;0,65979;0,677185;0,690002;0,717773;0,766602;0,783997;0,847473;0,919189;1,1438;1,28937;1,40137;1,49933;1,51611;1,52222;0,0335693;1,54816;0,0875854
393;0,642395;0,633545;0,638123;0,652466;0,675964;0,722046;0,741577;0,76355;0,822449;0,883789;1,11908;1,23352;1,37665;1,45172;1,43616;1,49719;0,0341797;1,50818;0,0909424
394;0,612183;0,622864;0,63324;0,629272;0,643921;0,662231;0,718384;0,751648;0,791931;0,846863;1,1087;1,23535;1,3208;1,41022;1,41235;1,43433;0,0341797;1,47186;0,0991821
395;0,588379;0,580139;0,591431;0,592957;0,63385;0,646973;0,682068;0,713806;0,77301;0,828857;1,04919;1,16241;1,23901;1,35284;1,36261;1,42395;0,0302124;1,41418;0,0860596
396;0,558167;0,581055;0,56488;0,586853;0,599976;0,653992;0,648499;0,684204;0,728149;0,810547;1,02112;1,14777;1,2439;1,2851;1,32568;1,4035;0,0305176;1,36932;0,0827026
397;0,550537;0,545959;0,548706;0,564575;0,573425;0,608826;0,623169;0,657043;0,724487;0,764465;0,969238;1,09985;1,18805;1,26129;1,2738;1,40747;0,032959;1,33881;0,090332
398;0,544128;0,532837;0,535583;0,52887;0,567627;0,598755;0,603943;0,643311;0,681458;0,752258;0,945129;1,04279;1,1377;1,21704;1,23291;1,34277;0,032959;1,28174;0,093689
399;0,511169;0,504761;0,498962;0,528259;0,524597;0,555725;0,576172;0,625;0,66864;0,717468;0,917358;1,04889;1,09985;1,17157;1,19476;1,31531;0,0317383;1,24786;0,0897217
400;0,466309;0,491943;0,488586;0,499878;0,517883;0,550842;0,552673;0,599365;0,639038;0,70343;0,882263;0,993347;1,05347;1,15631;1,13281;1,17645;0,0326538;1,20544;0,093689
401;0,463867;0,473328;0,466309;0,472412;0,501099;0,524597;0,531921;0,569153;0,617676;0,641785;0,857239;0,936279;1,01196;1,10291;1,10321;1,1377;0,0296021;1,15601;0,0891113
402;0,452576;0,441284;0,446777;0,452271;0,465393;0,507813;0,534668;0,553894;0,594788;0,625305;0,802917;0,930176;0,984497;1,06812;1,06689;1,09344;0,0302124;1,13678;0,0860596
403;0,426941;0,429688;0,429993;0,432739;0,46814;0,501404;0,50415;0,529785;0,563049;0,617065;0,791016;0,879517;0,985718;1,00891;1,026;1,05591;0,0302124;1,08368;0,0842285
404;0,414429;0,419312;0,417786;0,422974;0,437927;0,464478;0,493164;0,517578;0,557251;0,594788;0,744324;0,86853;0,924988;0,996704;1,00769;1,02661;0,0338745;1,06415;0,0839233
405;0,390015;0,420837;0,393372;0,396729;0,429993;0,445251;0,4599;0,488281;0,547791;0,556946;0,726013;0,827026;0,866699;0,932922;0,944214;0,986023;0,0311279;1,00769;0,0845337
406;0,377808;0,370789;0,385437;0,389099;0,406494;0,433655;0,455627;0,451965;0,505066;0,538635;0,708313;0,799866;0,854187;0,91217;0,942078;0,941772;0,0259399;0,963745;0,0888062
407;0,341187;0,362549;0,363464;0,37262;0,392151;0,410461;0,43335;0,441895;0,498657;0,516052;0,667114;0,783997;0,81604;0,881653;0,893555;0,92926;0,0262451;0,941162;0,0875854
408;0,340271;0,345764;0,358582;0,360413;0,375061;0,396118;0,40863;0,428772;0,458069;0,512695;0,653992;0,742798;0,81543;0,845337;0,853271;0,873108;0,0305176;0,907288;0,0891113
409;0,325317;0,324097;0,335388;0,340881;0,359497;0,380859;0,386658;0,407715;0,446167;0,480347;0,617371;0,720825;0,785828;0,817871;0,813293;0,848694;0,0308228;0,871582;0,0869751
410;0,310364;0,317078;0,317688;0,321655;0,356445;0,348206;0,378723;0,396729;0,441589;0,468445;0,592957;0,690002;0,7901;0,79071;0,799561;0,817261;0,0332642;0,837708;0,0964355
411;0,3125;0,301514;0,307007;0,314026;0,334167;0,354004;0,36499;0,377197;0,421143;0,426941;0,569763;0,641479;0,795593;0,78064;0,757751;0,779419;0,0308228;0,808411;0,0927734
412;0,293579;0,293274;0,310059;0,301208;0,324707;0,324097;0,343323;0,372314;0,397339;0,440979;0,549927;0,62439;0,777588;0,765381;0,741882;0,74585;0,0286865;0,783386;0,0848389
413;0,27771;0,287476;0,283203;0,292053;0,306396;0,330505;0,333252;0,351563;0,391541;0,410461;0,516357;0,602722;0,708923;0,768738;0,718689;0,725098;0,0274658;0,752258;0,090332
414;0,25116;0,262146;0,267944;0,274963;0,298767;0,312195;0,318604;0,333862;0,363159;0,398254;0,518799;0,58075;0,640869;0,758972;0,680237;0,686646;0,0311279;0,703125;0,0878906
415;0,255127;0,253906;0,26001;0,270081;0,283813;0,294189;0,305481;0,324402;0,362244;0,375366;0,491333;0,560608;0,585022;0,699158;0,648193;0,665283;0,0308228;0,693665;0,083313
416;0,242004;0,258484;0,259094;0,248413;0,273132;0,292358;0,293884;0,316467;0,331421;0,366516;0,462952;0,549927;0,560913;0,641174;0,627136;0,643616;0,0326538;0,653992;0,0875854
417;0,231628;0,225525;0,240784;0,250854;0,253601;0,267639;0,294495;0,300598;0,321045;0,358276;0,447083;0,51178;0,565491;0,602722;0,605164;0,605469;0,0234985;0,633545;0,0796509
418;0,223999;0,222778;0,235901;0,240479;0,256653;0,268555;0,26886;0,286865;0,322876;0,331421;0,421753;0,489502;0,534058;0,560913;0,585327;0,59021;0,027771;0,61676;0,0808716
419;0,204773;0,213623;0,215454;0,22644;0,245056;0,253296;0,262451;0,277405;0,301514;0,318604;0,426025;0,478516;0,511475;0,536804;0,548401;0,56427;0,0265503;0,591736;0,0802612
420;0,201721;0,202026;0,210266;0,221863;0,22583;0,249023;0,252991;0,2771;0,289307;0,313416;0,42511;0,468445;0,49408;0,525208;0,541992;0,540466;0,0250244;0,559082;0,0784302
421;0,195313;0,196228;0,198364;0,201416;0,218201;0,240173;0,243225;0,262146;0,278931;0,296631;0,390625;0,45105;0,473633;0,485535;0,516663;0,527649;0,0308228;0,541077;0,0827026
422;0,184937;0,189819;0,196533;0,204468;0,209961;0,212402;0,243225;0,244141;0,264587;0,285645;0,360107;0,434875;0,445557;0,478516;0,493469;0,491028;0,0271606;0,533142;0,0744629
